City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,geraldton,-28.7667,114.6,16.23,77,40,7.2,AU,1687493855
254,tupancireta,-29.0806,-53.8358,14.79,99,98,1.86,BR,1687493855
255,kenora,49.8167,-94.4337,15.54,88,75,1.54,CA,1687493855
256,bontang,0.1333,117.5,29.31,69,100,1.99,ID,1687493855
257,constitucion,-35.3333,-72.4167,14.22,99,100,4.48,CL,1687493757
258,tazovsky,67.4667,78.7,5.22,73,100,2.81,RU,1687493856
259,chadron,42.8294,-102.9999,18.86,90,100,5.36,US,1687493856
260,ponta delgada,37.7333,-25.6667,20.4,100,75,3.09,PT,1687493856
261,san julian,21.0167,-102.1667,22.38,29,2,6.78,MX,1687493856
262,fale old settlement,-9.3852,-171.2468,28.09,73,42,3.99,TK,1687493856
263,soroti,1.7146,33.6111,18.79,93,100,1.21,UG,1687493856
264,labasa,-16.4167,179.3833,25.2,84,72,1.54,FJ,1687493674
265,east london,-33.0153,27.9116,11.52,76,0,3.6,ZA,1687493856
266,enriquillo,17.9,-71.2333,26.76,85,100,4.58,DO,1687493857
267,north bend,43.4065,-124.2243,15.69,94,20,4.12,US,1687493838
268,fort bragg,35.139,-79.006,23.08,97,100,2.57,US,1687493857
269,margate,51.3813,1.3862,15.73,92,7,0.45,GB,1687493675
270,arenapolis,-14.4503,-56.8461,20.68,53,66,1.57,BR,1687493857
271,kingston,17.997,-76.7936,29.53,81,20,9.77,JM,1687493590
272,stephenville,32.2207,-98.2023,27.44,77,0,3.09,US,1687493857
273,lompoc,34.6391,-120.4579,15.01,85,20,4.47,US,1687493250
274,hastings,50.8552,0.5729,16.4,49,19,0.32,GB,1687493711
275,afaahiti,-17.75,-149.2833,25.93,82,99,10.63,PF,1687493857
276,lebork,54.5392,17.7501,16.62,96,80,0.57,PL,1687493858
277,banda aceh,5.5577,95.3222,29.91,61,68,3.15,ID,1687493665
278,villa gesell,-37.2639,-56.973,9.67,88,88,5.36,AR,1687493858
279,chonchi,-42.6128,-73.8092,8.56,94,8,1.84,CL,1687493858
280,batken,39.8333,71.0,19.06,35,0,2.33,KG,1687493858
281,pitoa,9.3833,13.5333,22.87,89,72,1.37,CM,1687493858
282,nandigama,16.7833,80.3,30.07,65,100,2.79,IN,1687493858
283,ta`u,-14.2336,-169.5144,27.52,75,35,2.8,AS,1687493858
284,shenjiamen,29.9576,122.298,19.89,90,100,8.06,CN,1687493859
285,sarkand,45.41,79.9186,26.26,26,88,3.43,KZ,1687493859
286,alburquerque,39.2208,-7.0023,17.95,53,0,2.26,ES,1687493859
287,tavda,58.0425,65.2726,13.54,53,98,0.97,RU,1687493859
288,pokrovsk,48.282,37.1758,16.2,63,72,3.2,UA,1687493820
289,port elizabeth,-33.918,25.5701,10.17,88,0,4.63,ZA,1687493859
290,masterton,-40.9597,175.6575,14.94,97,100,4.06,NZ,1687493859
291,balakhta,55.38,91.6,16.1,59,66,6.52,RU,1687493859
292,brookhaven,31.5791,-90.4407,23.81,90,0,1.86,US,1687493860
293,laguna,38.421,-121.4238,18.75,71,0,5.14,US,1687493860
294,el porvenir,13.7617,-87.3458,24.63,91,97,2.15,HN,1687493860
295,flying fish cove,-10.4217,105.6791,26.82,78,100,5.66,CX,1687493860
296,machico,32.7,-16.7667,21.35,80,20,4.12,PT,1687493860
297,sabzevar,36.2126,57.6819,28.6,23,0,13.38,IR,1687493860
298,winterset,41.3308,-94.0138,24.68,64,93,2.7,US,1687493836
299,mabaruma,8.2,-59.7833,23.2,99,84,1.21,GY,1687493860
300,harper,4.375,-7.7169,24.87,79,64,4.18,LR,1687493861
301,gillette,44.2911,-105.5022,15.51,85,100,4.12,US,1687493826
302,gaiman,-43.2897,-65.4929,14.11,47,100,5.65,AR,1687493861
303,san juan del sur,11.2529,-85.8705,26.47,85,98,4.57,NI,1687493818
304,penzance,50.1186,-5.5371,16.38,87,100,5.72,GB,1687493861
305,jaru,-10.4389,-62.4664,22.35,79,38,0.73,BR,1687493861
306,ancud,-41.8697,-73.8203,10.17,88,88,5.27,CL,1687493844
307,lorengau,-2.0226,147.2712,28.23,78,94,2.02,PG,1687493861
308,vila velha,-20.3297,-40.2925,17.75,85,0,1.54,BR,1687493861
309,howard springs,-12.497,131.047,31.95,36,68,1.66,AU,1687493862
310,bat khela,34.6167,71.9714,36.7,29,0,2.58,PK,1687493862
311,holualoa,19.6228,-155.9522,25.91,77,75,5.14,US,1687493862
312,miracema do tocantins,-9.5618,-48.3967,23.73,54,25,0.74,BR,1687493862
313,lebu,-37.6167,-73.65,12.38,96,100,4.84,CL,1687493862
314,naze,28.3667,129.4833,23.51,93,100,1.2,JP,1687493862
315,lovington,32.944,-103.3485,27.47,26,72,5.83,US,1687493862
316,al artawiyah,26.5053,45.3444,32.32,15,0,5.85,SA,1687493862
317,trzebiatow,54.0615,15.2648,17.8,61,100,3.04,PL,1687493582
318,mweka,-4.85,21.5667,21.04,86,83,0.93,CD,1687493863
